ticker,Company_Name,reserves_mt,emissions_factor,potential_emissions,production_mt,production_source,production_source_detail,cv_kcal_kg,coal_rank,mining_method,strip_ratio,mine_life_years,royalty_rate_pct,stranding_premium,wacc_base,wacc_stranded,total_assets,total_liabilities,total_equity,total_debt,cash,lt_debt,inventory,revenue,cost_of_revenue,gross_profit,operating_income,ebitda,interest_expense,cash_cost_usd_t,aisc_usd_t,fob_cost_usd_t,breakeven_usd_t,env_score,social_score,gov_score,market_cap,debt_to_equity,npv_bau,npv_2c,npv_1_5c,sv_2c,sv_1_5c,expected_sv,stranded_2c,stranded_1_5c,sv_2c_pct_assets,sv_1_5c_pct_assets
AADI,PT Adaro Andalan Indonesia Tbk,,2.2,,68.06,annual_report_2024,AADI FY2024 press release; IDNFinancials,4800.0,Sub-bituminous,Open pit,,20.0,5.0,0.03,0.0958,0.1168,5992.658,2993.767,2998.891,1467.932,1581.194,1424.392,68.549,5.3084,3853.631,1465.951,1481.217,1263.995,76.923,56.621084337349394,62.28319277108434,65.1142469879518,63.121084337349394,,,,62619800027675.5,0.489491615400493,26704.61154827819,13017.335703873956,4689.951511781921,13749.929943852414,22151.834092015648,12106.210349827339,False,False,229.44626481024636,369.6495627151699
ADRO,Alamtri Resources Indonesia Tbk PT,,2.2,,,subsidiary_aadi,Post-2024 restructuring: thermal coal via AADI; metallurgical coal via ADMR (~5 Mt),4800.0,Sub-bituminous,Open pit,,20.0,5.0,0.03,0.1182,0.1392,6702.127,1775.271,4926.856,579.845,2033.611,521.106,99.997,5632.901,1204.69,873.999,711.401,949.917,49.069,,,,,71.185625235326,49.813606780402,33.4295246038365,61130553952000.0,0.1176906733218913,,,,,,,False,False,,
BYAN,Bayan Resources Tbk PT,,2.4,,49.7,annual_report_2023,Bayan Resources annual report 2023; ScienceAgri,6000.0,Bituminous,Open pit,,20.0,7.0,0.03,0.0469,0.0679,3521.45593,1317.33061,2204.12532,337.54176,912.15205,0.0,248.03985,,2113.42946,1332.78549,1212.73295,1315.6603,15.01226,42.52373158953722,46.776104748490944,48.9022913279678,51.62373158953722,39.4448395598878,57.5272109228085,76.5257158743397,485833357625000.0,0.1531409112436492,34262.50673532403,18040.757157823187,8468.671527296103,16113.1316120108,25727.105076720953,14120.92126568057,False,False,457.57016223715175,730.5814864115296
PTBA,Bukit Asam Tbk PT,,2.2,,41.9,annual_report_2023,PTBA official website: 2023 production = 41.9 Mt,5000.0,Sub-bituminous,Both,,20.0,7.0,0.03,0.094,0.115,2596.99042883779,1198.27768800497,1398.71274083282,139.902610316967,298.382846488502,22.8875077688005,302.631261653201,2583.20555723346,2148.08937228092,509.770665009323,351.300062150404,454.94592914854,10.8321317588564,51.267049457778526,56.39375440355639,58.9571068764453,60.36704945777853,76.5447851734091,93.087645513712,51.8462607728663,29438793648454.7,0.1000224036235391,18228.767435268448,9607.615333075188,4409.5621273419165,8596.32750512767,13842.662164058122,7580.460097246563,False,False,331.0111354154938,533.0270766632365
ITMG,Indo Tambangraya Megah Tbk PT,,2.4,,16.9,annual_report_2023,Indo Tambangraya Megah; Indonesia Miner; IDNFinancials,6000.0,Bituminous,Open pit,,20.0,7.0,0.03,0.093,0.114,2406.544,478.477,1928.067,72.393,990.364,45.594,84.516,2304.497,1605.687,698.81,483.432,526.247,3.514,95.0110650887574,104.51217159763316,109.262724852071,104.1110650887574,85.4850855541145,68.8005863886974,88.2577147623019,24801853750000.0,0.0375469317196964,2318.9821190180664,-1146.1278903375733,-3254.9474653015714,3508.303747227211,5647.2058691156,3095.1426977337055,True,True,145.78182436004542,234.66040384533176
BUMI,Bumi Resources Tbk PT,,2.2,,77.3,annual_report_2023,Bumi Resources: KPC 53.5 + Arutmin 23.8 Mt,4800.0,Sub-bituminous,Open pit,,20.0,5.0,0.03,0.1327,0.1537,4163.40108,2553.37319,1610.02789,474.87591,80.80368,287.21485,40.89368,2786.067,1190.38943,169.29004,61.06801,101.40313,21.07534,15.399604527813713,16.939564980595087,17.70954520698577,21.899604527813715,59.0156047358072,90.0327111432696,82.768140116764,83921798607368.0,0.2949488719726463,42083.577092125706,30538.07393294047,23377.89508367335,11503.76950274477,18641.315200123456,10232.739380912577,False,False,276.30702115167753,447.74247885153204
CUAN,PT Petrindo Jaya Kreasi Tbk,,2.2,,,,,4800.0,Sub-bituminous,Open pit,,20.0,5.0,0.03,0.1411,0.1621,1777.796,1471.645,306.151,816.374,304.163,699.172,69.212,,683.857,117.866,216.248,111.616,48.966,,,,,26.4757561812325,33.5652583539663,9.24798443147067,183623995602972.0,2.666573030955313,,,,,,,False,False,,
DSSA,Dian Swastatika Sentosa Tbk PT,,2.2,,,subsidiary_gems,Holding company: coal production consolidated via GEMS,4800.0,Sub-bituminous,Open pit,,20.0,5.0,0.03,0.1534,0.1744,3695.07126,2086.63136,1608.4399,1216.32977,908.48203,860.50616,119.39318,,1789.38882,1228.40721,650.23532,733.88194,60.85925,,,,,,,,657859043200000.0,0.7562171082674585,,,,,,,False,False,,
BSSR,Baramulti Suksessarana Tbk PT,,2.2,,21.57,annual_report_2023,BSSR annual report 2023; Argus Media,4200.0,Sub-bituminous,Open pit,,20.0,5.0,0.03,0.105,0.126,383.11883,119.05067,264.06816,2.83747,35.88626,0.21827,43.12571,,638.60863,309.16083,169.72791,214.18372,0.22814,29.60633426054705,32.566967686601764,34.04728439962911,36.10633426054706,,,,10178185000000.0,0.0107452182042696,11837.337445089712,7784.291509219167,5294.572548745382,4026.3911032821266,6493.617137773415,3546.691145002042,False,False,1050.9509812613821,1694.935521121062
GEMS,Golden Energy Mines Tbk PT,,2.2,,46.12,annual_report_2023,Golden Energy Mines official; ScienceAgri,4200.0,Sub-bituminous,Open pit,,20.0,5.0,0.03,0.1061,0.1271,1239.57189,587.41287,652.15901,282.62703,326.92904,30.3266,23.13383,,1600.94252,1104.57836,632.21787,680.30177,5.77401,34.71254379878578,38.18379817866436,39.91942536860365,41.21254379878578,,,,44651516922347.7,0.4333713491131557,23575.163780199728,15006.851371822684,9738.734990911911,8542.380917629811,13783.982493485571,7501.9311170412475,False,False,689.1396123567962,1111.9954078246783
