coal_ticker,scenario,status,lgd,npv,stranded_value
AADI,BAU,PERFORMING,0.0,16099.93,0.0
AADI,2C,DISTRESSED,0.3449195665763004,9209.98,6889.95
AADI,1.5C,DISTRESSED,0.5822329590642416,4469.52,11630.41
BYAN,BAU,PERFORMING,0.0,29451.18,0.0
BYAN,2C,DISTRESSED,1.014709560769656,17540.33,11910.85
BYAN,1.5C,DISTRESSED,1.6540570479324443,10035.55,19415.63
PTBA,BAU,PERFORMING,0.0,14646.11,0.0
PTBA,2C,DISTRESSED,0.8092082191232678,7641.09,7005.02
PTBA,1.5C,DISTRESSED,1.326873584798734,3159.85,11486.26
ITMG,BAU,PERFORMING,0.0,1080.79,0.0
ITMG,2C,DEFAULT,1.0,-1386.13,2466.92
ITMG,1.5C,DEFAULT,1.0,-3056.76,4137.55
BUMI,BAU,PERFORMING,0.0,23351.44,0.0
BUMI,2C,DISTRESSED,0.5067717376871123,16318.46,7032.98
BUMI,1.5C,DISTRESSED,0.8339506411426497,11777.87,11573.57
CUAN,BAU,PERFORMING,0.0,1679.28,0.0
CUAN,2C,DISTRESSED,0.1661225472438907,694.84,984.44
CUAN,1.5C,DISTRESSED,0.2830465362730032,1.95,1677.33
DSSA,BAU,PERFORMING,0.0,9081.58,0.0
DSSA,2C,DISTRESSED,0.2696749074333143,5760.02,3321.56
DSSA,1.5C,DISTRESSED,0.4483009618602051,3559.9,5521.68
BSSR,BAU,PERFORMING,0.0,9184.53,0.0
BSSR,2C,DISTRESSED,2.1441937479293305,6446.26,2738.27
BSSR,1.5C,DISTRESSED,3.4811836317207376,4738.84,4445.69
GEMS,BAU,PERFORMING,0.0,19570.48,0.0
GEMS,2C,DISTRESSED,1.4680681408482086,13504.56,6065.92
GEMS,1.5C,DISTRESSED,2.3984837216661954,9660.17,9910.31
HRUM,BAU,DEFAULT,1.0,-1745.36,0.0
HRUM,2C,DEFAULT,1.0,-2370.44,625.08
HRUM,1.5C,DEFAULT,1.0,-2779.08,1033.72
INDY,BAU,PERFORMING,0.0,11063.67,0.0
INDY,2C,DISTRESSED,0.3945046162825918,7167.59,3896.08
INDY,1.5C,DISTRESSED,0.645652884493685,4687.28,6376.39
TOBA,BAU,DEFAULT,0.1937149047096088,-66.24,0.0
TOBA,2C,DEFAULT,0.5096714008573464,-174.28,108.04
TOBA,1.5C,DEFAULT,0.7306128418418112,-249.83,183.59
MBAP,BAU,PERFORMING,0.0,466.45,0.0
MBAP,2C,DISTRESSED,0.3816749962023489,164.69,301.76
MBAP,1.5C,DEFAULT,1.0,-46.5,512.95
KKGI,BAU,PERFORMING,0.0,2214.82,0.0
KKGI,2C,DISTRESSED,1.0947277709181094,1452.28,762.54
KKGI,1.5C,DISTRESSED,1.7848223131095042,971.59,1243.23
ADMR,BAU,PERFORMING,0.0,173.09,0.0
ADMR,2C,DEFAULT,1.0,-636.14,809.23
ADMR,1.5C,DEFAULT,1.0,-1181.32,1354.41
BOSS,BAU,PERFORMING,0.0,105.99,0.0
