scenario,scenario_label,channel,sub_channel,loss_usd_m,gdp_impact_pct
2C,2°C Paris-aligned,Fiscal,Corporate Tax,1022.8851769299665,0.05428503592501717
2C,2°C Paris-aligned,Fiscal,Royalty,262.68333018388694,0.013940737765634635
2C,2°C Paris-aligned,Fiscal,PTBA Dividend,32.6062587878454,0.0017304307165649567
2C,2°C Paris-aligned,Credit,Bank Deleveraging,14787.940212353755,0.19190824268761758
2C,2°C Paris-aligned,Market,Coal Equity,24202.558960473714,0.05504751848477721
2C,2°C Paris-aligned,Market,Bank Equity,2143.5355696879355,0.004875365207781506
1.5C,1.5°C Net Zero,Fiscal,Corporate Tax,1704.8086282166107,0.09047505987502862
1.5C,1.5°C Net Zero,Fiscal,Royalty,437.80555030647827,0.023234562942724395
1.5C,1.5°C Net Zero,Fiscal,PTBA Dividend,54.34376464640899,0.002884051194274927
1.5C,1.5°C Net Zero,Credit,Bank Deleveraging,25174.54045796061,0.32669876604718734
1.5C,1.5°C Net Zero,Market,Coal Equity,37003.251062282376,0.0841620570029167
1.5C,1.5°C Net Zero,Market,Bank Equity,3791.870025789826,0.00862442007382068
