ticker,cv_kcal_kg,breakeven_original,breakeven_cv_adjusted,rank_original,rank_adjusted,rank_change
AADI,4800.0,80.2,100.25,11,11,0
ARII,4800.0,54.77,68.46,8,8,0
BSSR,4200.0,34.53,49.33,2,2,0
BUMI,4800.0,51.12,63.9,6,6,0
BYAN,6000.0,51.01,51.01,5,3,2
GEMS,4200.0,43.02,61.46,3,5,-2
HRUM,4800.0,235.04,293.8,15,15,0
INDY,4800.0,51.63,64.54,7,7,0
ITMG,6000.0,133.69,133.69,13,13,0
KKGI,4800.0,48.34,60.43,4,4,0
MBAP,4800.0,95.97,119.96,12,12,0
MCOL,4800.0,77.01,96.26,10,10,0
PTBA,5000.0,67.51,81.01,9,9,0
SMMT,4800.0,28.81,36.01,1,1,0
TOBA,4800.0,168.89,211.11,14,14,0
