specification,fiscal_multiplier,credit_gdp_elasticity,wealth_effect,credit_multiplier,scenario,fiscal_gdp_impact_pct,credit_gdp_impact_pct,market_gdp_impact_pct,total_gdp_impact_pct
Baseline,0.7,0.06,0.03,8,2C,0.069956,0.191908,0.059923,0.321787
Baseline,0.7,0.06,0.03,8,1.5C,0.116594,0.326699,0.092786,0.536079
Fiscal multiplier = 0.5,0.5,0.06,0.03,8,2C,0.049969,0.191908,0.059923,0.3018
Fiscal multiplier = 0.5,0.5,0.06,0.03,8,1.5C,0.083281,0.326699,0.092786,0.502766
Fiscal multiplier = 1.0,1.0,0.06,0.03,8,2C,0.099937,0.191908,0.059923,0.351769
Fiscal multiplier = 1.0,1.0,0.06,0.03,8,1.5C,0.166562,0.326699,0.092786,0.586048
Credit-GDP elasticity = 0.04,0.7,0.04,0.03,8,2C,0.069956,0.127939,0.059923,0.257818
Credit-GDP elasticity = 0.04,0.7,0.04,0.03,8,1.5C,0.116594,0.217799,0.092786,0.427179
Credit-GDP elasticity = 0.08,0.7,0.08,0.03,8,2C,0.069956,0.255878,0.059923,0.385757
Credit-GDP elasticity = 0.08,0.7,0.08,0.03,8,1.5C,0.116594,0.435598,0.092786,0.644979
Wealth effect = 0.02,0.7,0.06,0.02,8,2C,0.069956,0.191908,0.039949,0.301813
Wealth effect = 0.02,0.7,0.06,0.02,8,1.5C,0.116594,0.326699,0.061858,0.50515
Wealth effect = 0.05,0.7,0.06,0.05,8,2C,0.069956,0.191908,0.099871,0.361736
Wealth effect = 0.05,0.7,0.06,0.05,8,1.5C,0.116594,0.326699,0.154644,0.597937
Credit multiplier = 6x,0.7,0.06,0.03,6,2C,0.069956,0.143931,0.059923,0.27381
Credit multiplier = 6x,0.7,0.06,0.03,6,1.5C,0.116594,0.245024,0.092786,0.454404
Credit multiplier = 12x,0.7,0.06,0.03,12,2C,0.069956,0.287862,0.059923,0.417741
Credit multiplier = 12x,0.7,0.06,0.03,12,1.5C,0.116594,0.490048,0.092786,0.699428
