specification,agg_sv_2c_B,agg_sv_1_5c_B,bank_loss_2c_B,bank_loss_1_5c_B,gdp_impact_2c_pct,gdp_impact_1_5c_pct
Baseline,79.759,128.342,1.848,3.147,0.321787,0.536079
Discount rate +2pp,66.988,108.136,1.848,3.147,0.321787,0.536079
Discount rate -2pp,96.147,154.183,1.848,3.147,0.321787,0.536079
Production +10%,87.735,141.176,1.848,3.147,0.321787,0.536079
Production -10%,71.783,115.507,1.848,3.147,0.321787,0.536079
Cash cost +15%,79.759,128.342,1.848,3.147,0.321787,0.536079
Cash cost -15%,79.759,128.342,1.848,3.147,0.321787,0.536079
Mine life +3yr,86.09,137.484,1.848,3.147,0.321787,0.536079
Mine life -3yr,71.904,116.635,1.848,3.147,0.321787,0.536079
Coal price +15%,91.723,147.593,1.848,3.147,0.321787,0.536079
Coal price -15%,67.795,109.09,1.848,3.147,0.321787,0.536079
LGD low (0.35),79.759,128.342,1.792,2.977,0.321787,0.536079
LGD high (0.55),79.759,128.342,1.905,3.316,0.321787,0.536079
Default threshold: NPV < -10% assets,79.759,128.342,1.848,3.147,0.321787,0.536079
Exclude indirect mining losses,79.759,128.342,1.594,2.385,0.321787,0.536079
Macro: Fiscal multiplier = 0.5,79.759,128.342,1.848,3.147,0.3018,0.502766
Macro: Fiscal multiplier = 1.0,79.759,128.342,1.848,3.147,0.351769,0.586048
Macro: Credit-GDP elasticity = 0.04,79.759,128.342,1.848,3.147,0.257818,0.427179
Macro: Credit-GDP elasticity = 0.08,79.759,128.342,1.848,3.147,0.385757,0.644979
Macro: Wealth effect = 0.02,79.759,128.342,1.848,3.147,0.301813,0.50515
Macro: Wealth effect = 0.05,79.759,128.342,1.848,3.147,0.361736,0.597937
Macro: Credit multiplier = 6x,79.759,128.342,1.848,3.147,0.27381,0.454404
Macro: Credit multiplier = 12x,79.759,128.342,1.848,3.147,0.417741,0.699428
