ticker,Company_Name,npv_BAU_p5,npv_BAU_p25,npv_BAU_p50,npv_BAU_p75,npv_BAU_p95,npv_2C_p5,npv_2C_p25,npv_2C_p50,npv_2C_p75,npv_2C_p95,npv_1.5C_p5,npv_1.5C_p25,npv_1.5C_p50,npv_1.5C_p75,npv_1.5C_p95,sv_2c_p5,sv_2c_p50,sv_2c_p95,sv_1_5c_p5,sv_1_5c_p50,sv_1_5c_p95,expected_sv_p5,expected_sv_p50,expected_sv_p95,npv_bau_mean,sv_2c_mean,sv_1_5c_mean,expected_sv_mean,npv_bau_point,sv_2c_point,sv_1_5c_point
AADI,PT Adaro Andalan Indonesia Tbk,19063.401892289286,23307.540973496074,26704.61154827819,30400.256643891196,36089.67422035248,6281.226300997169,10194.935663722716,13017.335703873956,15889.595280883965,20329.462979281056,-2221.099162651204,1926.3169793011978,4689.951511781921,7298.996478278195,11370.606749420043,10679.893330338515,13749.929943852414,17735.11387988295,17250.46140487269,22151.834092015648,28401.689634219267,7102.394495600206,12106.210349827339,17889.899686572284,27046.132526450623,13929.226799961381,22416.451393879044,12265.753483711911,,,
BYAN,Bayan Resources Tbk PT,25701.88218422188,30507.95512952905,34262.50673532403,38351.34526698746,45060.863638987095,12255.282725209649,15565.60078713194,18040.757157823187,20730.310865138934,24984.58306344601,2902.4045262218187,6191.930858848425,8468.671527296103,10729.287915143024,14163.36031020601,11972.650507861375,16113.1316120108,21830.600335498297,19242.8384933459,25727.105076720953,34576.94742948634,8207.431837498267,14120.92126568057,21536.814977692084,34660.53017151618,16410.203091311418,26173.8346897538,14424.084863267923,,,
PTBA,Bukit Asam Tbk PT,13560.797861136498,16197.45690655525,18228.767435268448,20493.85692214758,24087.422112819335,5801.344737501555,7996.88402356093,9607.615333075188,11337.613493112292,13958.379095403425,631.8308965103246,2862.7025072020783,4409.5621273419165,5924.1467855076635,8260.377636778823,6663.038422725432,8596.32750512767,11155.627700154197,10787.571358467501,13842.662164058122,17865.30507066642,4508.128032042895,7580.460097246563,11308.142411590317,18440.790664267963,8718.311262187868,14026.263847264048,7715.34118327813,,,
ITMG,Indo Tambangraya Megah Tbk PT,-441.6724978483039,1206.1097556943819,2318.9821190180664,3434.3684163288385,5245.203960373168,-4135.8434037447505,-2297.3221686057723,-1146.1278903375733,-53.62056068497222,1550.1868089236561,-6541.717171206026,-4519.489359030247,-3254.9474653015714,-2123.7076125921576,-581.554570667845,2706.7455892937323,3508.303747227211,4560.989703060525,4374.899386341353,5647.2058691156,7304.019195308252,1801.8213614406636,3095.1426977337055,4609.7585122231185,2345.0474535164726,3552.672549042188,5714.721368848435,3137.8577936248116,,,
BUMI,Bumi Resources Tbk PT,34058.124861615834,38630.66995567357,42083.577092125706,45722.801858209896,51022.675912782186,24885.066739639624,28104.199818694873,30538.07393294047,33081.00070410078,36825.02546840865,19131.232344969263,21541.407959589073,23377.89508367335,25239.469827155255,28109.843153496324,9078.372311750576,11503.76950274477,14434.61920904268,14749.013833124754,18641.315200123456,23292.927750780047,6079.2928732455175,10232.739380912577,14864.653271074882,42258.7397436564,11613.022709480932,18797.367436441902,10293.728388249892,,,
BSSR,Baramulti Suksessarana Tbk PT,9405.572105574885,10766.354302806723,11837.337445089712,12952.14123320322,14717.006375619534,6108.934631633033,7062.137815747306,7784.291509219167,8542.259324080453,9700.750533698894,4011.0653925746574,4749.956094663035,5294.572548745382,5895.358784522653,6754.1925575869545,3143.498422903325,4026.3911032821266,5168.803169618877,5085.213529778608,6493.617137773415,8289.239321277895,2087.2775842806636,3546.691145002042,5225.259625370888,11906.787276229796,4076.4996552312195,6570.848874501476,3591.4424292452572,,,
GEMS,Golden Energy Mines Tbk PT,18525.857343439082,21432.89030838559,23575.163780199728,25922.118923323935,29551.16764333803,11535.33456398471,13522.236592032925,15006.851371822684,16604.532663959297,19169.5229404044,6973.3724022723,8540.425641081456,9738.734990911911,11042.715134603937,13086.388016111308,6650.299498937169,8542.380917629811,10911.567514088361,10771.246399732805,13783.982493485571,17521.106272502864,4471.365448154918,7501.9311170412475,11092.65199128434,23756.748030313116,8629.252159849284,13911.135669845004,7604.804160306589,,,
HRUM,Harum Energy Tbk PT,-2740.5779297110794,-1775.5345849089626,-1151.5078055434592,-581.3622608794076,270.09577080572296,-4010.727523443709,-2984.3641427614607,-2321.5320296358045,-1727.037086651877,-869.5696257685607,-4817.171435871059,-3730.458176372977,-3039.434761943938,-2408.352249907102,-1557.1546086880674,919.8092514796117,1173.4632905867943,1493.4450093677922,1491.8794568407957,1896.3700272990616,2399.9687753314156,625.8370122274506,1033.7984964768661,1528.212038131184,-1185.9637722908928,1185.781236729791,1915.1498332677882,1049.904387964654,,,
INDY,Indika Energy Tbk PT,5102.639494897522,7176.041731056506,8658.384645433554,10237.870451498557,12820.85995750202,-373.36159714850805,1674.5993828795727,3037.1623517639555,4397.312424834659,6551.887360377678,-4038.9392684333648,-1813.403663912192,-413.8918509025896,948.2001850910352,2948.5712018052877,4406.901646889053,5664.194871855845,7271.354438327543,7140.211690682962,9135.807293400705,11670.25883894634,2979.778283178159,5000.308413570315,7368.619746461119,8772.634886972759,5728.378244651373,9231.747305200797,5065.968516880037,,,
TOBA,TBS Energi Utama Tbk PT,-512.2248643875939,-215.0041814391987,-16.13814074981508,179.5426464651041,472.0594484350304,-1005.2094904404104,-686.6231275890672,-477.14827776965717,-278.3850274918702,5.316893549555565,-1322.6887805588221,-982.7906130517473,-762.1991746425156,-554.5533551799523,-276.2130218008887,365.6350786806573,463.76459466124106,584.0875561534317,593.8320736857678,751.1715859270796,942.2541721324933,243.54964031947284,410.7235329397213,598.3792629839226,-18.303679265132008,468.4548987711264,758.234563163505,413.26235160405224,,,
MBAP,Mitrabara Adiperdana Tbk PT,175.61882285938012,322.3161251960103,425.1769959798172,534.4026827719991,709.3708892507594,-187.84281369456818,-35.08016334711595,66.94761093808367,170.90964206866602,321.6375403901019,-427.02156536559266,-259.52265907252223,-152.52040419298987,-46.632039755607224,98.01379079948957,280.7699319268496,359.88152938318797,460.3667759303835,455.0678349366119,580.7308494124575,740.054537888946,187.3249154310608,317.3181542196112,468.6599482508764,431.1858953545211,364.03193469298446,587.6095294090217,321.63964715197517,,,
KKGI,Resource Alam Indonesia Tbk PT,2219.131951646732,2557.5685486709517,2820.1944406954353,3107.6495012826317,3551.6677905231522,1338.0675889300685,1581.3042466307131,1765.9433248119644,1972.7919859190565,2287.4263895844206,756.6274043361034,962.8164350550803,1121.5381485035953,1288.444788214162,1539.0066605441143,824.0573321169364,1051.0428587962524,1342.9572117535492,1334.3683378134826,1696.6571069103418,2155.2087561650283,550.9815222030511,931.5247778808699,1364.9287330117845,2846.0266647685594,1062.7223704705068,1714.495868707814,940.5187000754642,,,
ARII,Atlas Resources Tbk PT,3310.604291876493,3847.724078499462,4279.126445505346,4740.673161196447,5503.4337081312815,1834.985944169701,2216.7531884691916,2499.1754991221487,2816.1869339626555,3318.159526232251,853.6847675986306,1191.1887910289072,1432.696541644521,1690.3851110436265,2095.9667953610956,1349.4877341992283,1763.6933513803504,2314.540445233334,2176.949935730457,2831.9157141072587,3696.8642499769553,923.5489813747483,1559.9759945261894,2318.013671459805,4318.659910844006,1787.5282749839835,2868.9084830295974,1579.7352309489547,,,
SMMT,Golden Eagle Energy Tbk PT,1200.5460809831989,1361.897316778469,1484.985378822144,1612.9831178682048,1809.971021209647,852.8348812983227,964.0498698242935,1049.374357835813,1135.7514024420288,1267.7270076444954,633.0540502404114,717.3423908991338,780.6011289401363,844.1566639445377,943.8421811898094,341.50089083430936,434.74138869115154,550.620427492906,553.824907118249,702.7544112916634,885.5890215725809,228.4767315532201,383.95332878148645,562.5644062103548,1492.339650876663,439.25609555140056,709.4709496181183,387.9120199308594,,,
MCOL,Prima Andalan Mandiri Tbk PT,2805.611102263769,3431.4830198464338,3917.648919110331,4434.758361021445,5275.586065617744,1019.1779077707555,1560.7117273138397,1949.7974232776128,2360.56560755211,3017.1364394608568,-190.90409094124084,380.6087669700917,759.165956396897,1148.8933867007113,1724.9817391023191,1522.128498457341,1966.0328112680436,2521.1252138561495,2463.2838983917113,3169.3006748923963,4039.5999687960366,1031.0370274153684,1725.088014600501,2554.726390185255,3958.1508374927716,1984.9213465333044,3196.6918594714666,1751.3834594464172,,,
ADRO,Alamtri Resources Indonesia Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUAN,PT Petrindo Jaya Kreasi Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSSA,Dian Swastatika Sentosa Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMM,ABM Investama Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMR,PT Alamtri Minerals Indonesia Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSS,Borneo Olah Sarana Sukses Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTBO,Garda Tujuh Buana Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COAL,Black Diamond Resources Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIMS,Artha Mahiya Investama Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGER,Sumber Global Energy Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNKO,Exploitasi Energi Indonesia Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITMA,Sumber Energi Andalan Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATA,PT MNC Energy Investments Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAM,Trada Alam Minera Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOID,PT BUMA Internasional Grup Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYOH,Samindo Resources Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWA,Darma Henwa Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWGL,Dwi Guna Laksana Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESS,Batulicin Nusantara Maritim Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSAT,Pancaran Samudera Transport Tbk PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
