ticker,Company_Name,breakeven_usd_t,production_mt,cumulative_production_mt
BUMI,Bumi Resources Tbk PT,21.899604527813715,77.3,77.3
SMMT,Golden Eagle Energy Tbk PT,25.22375230769231,2.6,79.89999999999999
BSSR,Baramulti Suksessarana Tbk PT,36.10633426054706,21.57,101.47
GEMS,Golden Energy Mines Tbk PT,41.21254379878578,46.12,147.59
KKGI,Resource Alam Indonesia Tbk PT,44.2804375,5.92,153.51
ARII,Atlas Resources Tbk PT,45.94306472919418,7.57,161.07999999999998
BYAN,Bayan Resources Tbk PT,51.62373158953722,49.7,210.77999999999997
PTBA,Bukit Asam Tbk PT,60.36704945777853,41.9,252.67999999999998
MCOL,Prima Andalan Mandiri Tbk PT,62.4672251984127,10.08,262.76
AADI,PT Adaro Andalan Indonesia Tbk,63.121084337349394,68.06,330.82
INDY,Indika Energy Tbk PT,76.73211860465116,30.1,360.92
MBAP,Mitrabara Adiperdana Tbk PT,88.17299521531102,2.09,363.01
ITMG,Indo Tambangraya Megah Tbk PT,104.1110650887574,16.9,379.90999999999997
TOBA,TBS Energi Utama Tbk PT,124.0965064516129,3.1,383.01
HRUM,Harum Energy Tbk PT,151.0792742857143,7.0,390.01
