ticker,year,total_assets_usd_m,total_equity_usd_m,gross_loans_usd_m,net_loans_usd_m,total_deposits_usd_m,net_income_usd_m,net_income_parent_usd_m,profit_before_tax_usd_m,interest_income_usd_m,interest_expense_usd_m,net_interest_income_usd_m,provision_expense_usd_m,npl_amount_usd_m,mining_loans_usd_m,loan_allowance_usd_m,mining_share,roa,roe,nim,ldr,npl_gross,npf_gross_reported,npf_net_reported,market_cap_usd_m,beta,stock_volatility,sharpe_proxy,wacc_base,wacc_climate,cost_of_equity_base,cost_of_equity_climate,cost_of_debt,tier1_ratio,total_car,fs_currency,fs_rounding,has_lseg_reference,reported_car,car_source,deposit_to_asset,ldr_usd,equity_ratio,mining_loan_share,size_category
BMRI,2025,179110.63455696203,20721.645443037974,119672.85797468355,119672.85797468355,114993.4941772152,3882.6666455696204,3562.9082278481014,4836.554620253164,10405.852278481012,3683.698164556962,6722.154113924051,,1291.9519620253166,9948.482848101266,,0.0849668927995204,0.0233380765584064,0.1914444229605053,0.0404057730599094,1.0406924220448248,0.0110341592316748,9.6e-09,4e-09,27402.1352301305,1.297,0.2470055909401107,0.4959973424929234,0.1417,0.1481,0.1338,0.1438,0.2,19.0,,Rupiah / IDR,Jutaan / In Million,1,0.201,annual_report_2024,0.6420249387293872,1.0406924220448248,0.11569187666770245,0.08313065315282969,DSIB
BBRI,2024,126138.19284810127,20455.002974683543,82172.0309493671,82172.0309493671,86420.89265822785,3838.2156962025315,3807.271329113924,4911.336075949367,12611.788101265824,3620.8267088607595,8990.961392405063,,,,,,0.0306437361850176,0.1896122792592939,0.0717824819566891,0.950835248535746,,,,33550.6323655391,1.381,0.2726217783284171,-0.0030711056370862,0.143,0.1504,0.1385,0.1485,0.2,22.3,,Rupiah / IDR,Jutaan / In Million,1,0.266,annual_report_2024,0.6851286728223388,0.9508352485357459,0.1621634376775634,,DSIB
BBCA,2024,91727.93215189873,16635.132088607596,57665.170949367086,57665.170949367086,70924.91563291139,3471.5996202531646,3470.6522151898735,4317.585443037975,5999.775569620253,793.1829113924051,5206.592658227848,-128.76284810126583,985.9533544303797,1684.8472151898734,,0.0295354104650951,0.038392324450479,0.2170725730563828,0.0575795646047421,0.8130453231390047,0.017283784998426,1.782e-08,5.87e-09,54289.2791370107,0.7212,0.1698498314342449,0.200496778463329,0.1023,0.1123,0.1022,0.1122,0.2,28.9,,Rupiah / IDR,Jutaan / In Million,1,0.289,lseg_tier1,0.7732095771597886,0.8130453231390047,0.18135296085232044,0.029217761561294145,DSIB
BBNI,2025,86205.99563291139,11160.719493670886,56932.32221518987,56932.32221518987,65875.5964556962,,,,,,,,0.0,0.0,,,,,,0.8642399504265436,,,,9899.05194737367,1.3039,0.2834323329624188,0.4336310701716814,0.1414,0.1481,0.1342,0.1442,0.2,20.2,,Rupiah / IDR,Jutaan / In Million,1,0.211,annual_report_2024,0.7641649049123269,0.8642399504265436,0.1294656991283561,0.0,DSIB
BBTN,2024,29722.436835443037,2061.5119620253163,22321.486265822783,22321.464367088607,21014.73303797468,190.3372151898734,190.3372151898734,238.78740506329115,1612.1914556962026,1029.581075949367,952.896835443038,2.6050632911392406,,,0.02189873417721519,,0.0066214143494275,0.0953934448124337,0.0331491914149971,1.06218271845218,,,,1034.22867503529,1.5687,0.3020769964522474,-0.1767772771135398,0.1542,0.1567,0.1488,0.1588,0.2,,,Rupiah / IDR,Jutaan / In Million,1,0.171,lseg_tier1,0.7070326418497187,1.06218271845218,0.06935878015112915,,DSIB
BRIS,2025,28872.949746835442,3288.156582278481,18803.116265822784,18755.763544303798,0.0,,,,,,,,716.5929113924051,146.22512658227848,47.352721518987344,0.0037020909465211,,,,,0.0181425189474142,,,6527.85202313108,0.8947,0.3724346993670313,0.0447318543289923,0.1129,0.1226,0.1117,0.1217,0.2,21.5,,Rupiah / IDR,Jutaan / In Million,1,0.215,lseg_tier1,0.0,,0.11388363887686509,0.0077766432178086615,DSIB
BNGA,2024,22798.7664556962,3366.8561392405063,14430.569303797469,14430.569303797469,16496.140949367087,436.6413924050633,432.0109493670886,552.4548734177215,1533.3744303797469,693.72,839.6544303797468,1.439493670886076,246.57443037974684,467.08835443037975,,0.0338609688786511,0.0198647736150057,0.1345691052711275,0.0381996426918155,0.874784554041479,0.0178750958660524,1.758432365285993e-26,6.87263143036668e-27,2797.6296127331,0.5442,0.1943934437783258,0.7108623892688346,0.1139,0.1205,0.0924,0.1024,0.2,21.6,,Rupiah / IDR,Jutaan / In Million,1,0.233,annual_report_2024,0.723554100237102,0.874784554041479,0.14767711866267694,0.032367978324144384,DSIB
NISP,2025,19502.543164556962,2775.7339873417723,10973.075949367088,10973.075949367088,15117.413544303798,,,,,,,,0.0,0.0,,,,,,0.7258567027493744,,,,2128.76192945196,0.1617,0.1844669777561564,0.6435090201388005,0.0762,0.0856,0.0714,0.0814,0.2,,,Rupiah / IDR,Jutaan / In Million,1,0.236,annual_report_2024,0.7751508824642676,0.7258567027493744,0.14232677061247404,0.0,Large
PNBN,2024,15440.416139240506,3548.7098734177216,9412.5632278481,9412.5632278481,8859.01829113924,181.44069620253165,173.3001898734177,231.32240506329114,978.0993670886076,414.26772151898734,563.8316455696203,,263.1881012658228,32.0246835443038,,0.0036158449543062,0.0123045323062255,0.0524174060251411,0.038236651662974,1.0624837785087895,0.0297160584484447,3.05e-06,9e-07,1484.55090734875,0.9261,0.4515842905815608,0.1895421535636994,0.1202,0.124,0.1134,0.1234,0.1594,,,Rupiah / IDR,Jutaan / In Million,1,0.345,annual_report_2024,0.5737551508488685,1.0624837785087897,0.2298325279199553,0.0034023339625018677,Large
BDMN,2024,15337.629113924051,3280.0985443037976,11612.435126582279,11612.435126582279,9529.7132278481,208.28386075949368,201.2237341772152,264.7837341772152,1442.3376582278481,454.6908860759494,987.6467721518987,,,,,,0.014195891583529,0.064663504934547,0.067314512267853,1.2185503224428589,,1.89e-08,2.2e-09,1492.11892565836,0.6633,0.2450034153473823,-0.0537781965139918,0.1274,0.1324,0.099,0.109,0.2,,,Rupiah / IDR,Jutaan / In Million,1,0.262,annual_report_2024,0.6213289653220708,1.2185503224428587,0.21385955547236477,,Large
