specification,fiscal_multiplier,credit_gdp_elasticity,wealth_effect,credit_multiplier,scenario,fiscal_gdp_impact_pct,credit_gdp_impact_pct,market_gdp_impact_pct,total_gdp_impact_pct
Baseline,0.7,0.06,0.03,8,2C,0.069956,0.188573,0.05885,0.317379
Baseline,0.7,0.06,0.03,8,1.5C,0.116594,0.321343,0.091057,0.528994
Fiscal multiplier = 0.5,0.5,0.06,0.03,8,2C,0.049969,0.188573,0.05885,0.297392
Fiscal multiplier = 0.5,0.5,0.06,0.03,8,1.5C,0.083281,0.321343,0.091057,0.495682
Fiscal multiplier = 1.0,1.0,0.06,0.03,8,2C,0.099937,0.188573,0.05885,0.34736
Fiscal multiplier = 1.0,1.0,0.06,0.03,8,1.5C,0.166562,0.321343,0.091057,0.578963
Credit-GDP elasticity = 0.04,0.7,0.04,0.03,8,2C,0.069956,0.125715,0.05885,0.254522
Credit-GDP elasticity = 0.04,0.7,0.04,0.03,8,1.5C,0.116594,0.214229,0.091057,0.42188
Credit-GDP elasticity = 0.08,0.7,0.08,0.03,8,2C,0.069956,0.251431,0.05885,0.380237
Credit-GDP elasticity = 0.08,0.7,0.08,0.03,8,1.5C,0.116594,0.428458,0.091057,0.636109
Wealth effect = 0.02,0.7,0.06,0.02,8,2C,0.069956,0.188573,0.039233,0.297763
Wealth effect = 0.02,0.7,0.06,0.02,8,1.5C,0.116594,0.321343,0.060705,0.498642
Wealth effect = 0.05,0.7,0.06,0.05,8,2C,0.069956,0.188573,0.098083,0.356613
Wealth effect = 0.05,0.7,0.06,0.05,8,1.5C,0.116594,0.321343,0.151762,0.589699
Credit multiplier = 6x,0.7,0.06,0.03,6,2C,0.069956,0.14143,0.05885,0.270236
Credit multiplier = 6x,0.7,0.06,0.03,6,1.5C,0.116594,0.241008,0.091057,0.448658
Credit multiplier = 12x,0.7,0.06,0.03,12,2C,0.069956,0.282859,0.05885,0.411666
Credit multiplier = 12x,0.7,0.06,0.03,12,1.5C,0.116594,0.482015,0.091057,0.689666
