specification,agg_sv_2c_B,agg_sv_1_5c_B,bank_loss_2c_B,bank_loss_1_5c_B,gdp_impact_2c_pct,gdp_impact_1_5c_pct
Baseline,74.931,120.569,1.816,3.095,0.317379,0.528994
Discount rate +2pp,62.927,101.579,1.816,3.095,0.317379,0.528994
Discount rate -2pp,90.336,144.86,1.816,3.095,0.317379,0.528994
Production +10%,82.424,132.626,1.816,3.095,0.317379,0.528994
Production -10%,67.438,108.513,1.816,3.095,0.317379,0.528994
Cash cost +15%,74.931,120.569,1.816,3.095,0.317379,0.528994
Cash cost -15%,74.931,120.569,1.816,3.095,0.317379,0.528994
Mine life +3yr,80.897,129.186,1.816,3.095,0.317379,0.528994
Mine life -3yr,67.538,109.552,1.816,3.095,0.317379,0.528994
Coal price +15%,86.171,138.655,1.816,3.095,0.317379,0.528994
Coal price -15%,63.691,102.484,1.816,3.095,0.317379,0.528994
LGD low (0.35),74.931,120.569,1.76,2.926,0.317379,0.528994
LGD high (0.55),74.931,120.569,1.873,3.265,0.317379,0.528994
Default threshold: NPV < -10% assets,74.931,120.569,1.816,3.095,0.317379,0.528994
Exclude indirect mining losses,74.931,120.569,1.562,2.333,0.317379,0.528994
Macro: Fiscal multiplier = 0.5,74.931,120.569,1.816,3.095,0.297392,0.495682
Macro: Fiscal multiplier = 1.0,74.931,120.569,1.816,3.095,0.34736,0.578963
Macro: Credit-GDP elasticity = 0.04,74.931,120.569,1.816,3.095,0.254522,0.42188
Macro: Credit-GDP elasticity = 0.08,74.931,120.569,1.816,3.095,0.380237,0.636109
Macro: Wealth effect = 0.02,74.931,120.569,1.816,3.095,0.297763,0.498642
Macro: Wealth effect = 0.05,74.931,120.569,1.816,3.095,0.356613,0.589699
Macro: Credit multiplier = 6x,74.931,120.569,1.816,3.095,0.270236,0.448658
Macro: Credit multiplier = 12x,74.931,120.569,1.816,3.095,0.411666,0.689666
