parameter,perturbation,agg_sv_2c,agg_sv_1_5c,expected_sv,delta_sv_2c,delta_sv_1_5c
Baseline,-,74930.99302360587,120569.47070014228,66143.23841948503,0.0,0.0
Discount rate,+2pp,62927.31271916721,101579.258835853,55644.702738422784,-12003.680304438662,-18990.211864289275
Discount rate,-2pp,90336.2774170228,144860.32144703294,79592.60740091899,15405.284393416921,24290.85074689066
Production volume,+10%,82424.09232596649,132626.41777015652,72757.56226143354,7493.099302360613,12056.947070014241
Production volume,-10%,67437.89372124527,108512.52363012807,59528.91457753653,-7493.099302360599,-12056.947070014212
Cash cost,+15%,74930.99302360586,120569.47070014226,66143.23841948502,-1.4551915228366852e-11,-1.4551915228366852e-11
Cash cost,-15%,74930.99302360589,120569.4707001423,66143.23841948505,1.4551915228366852e-11,1.4551915228366852e-11
Mine life,+3yr,80897.39578633283,129185.55435462555,71114.62462092079,5966.402762726953,8616.083654483271
Mine life,-3yr,67537.96873963808,109552.10477718606,59880.818929011046,-7393.024283967796,-11017.365922956218
Coal price path,+15%,86170.64197714672,138654.89130516362,76064.72418240778,11239.648953540847,18085.42060502134
Coal price path,-15%,63691.34407006499,102484.05009512094,56221.752656562276,-11239.648953540884,-18085.42060502134
Carbon cost internal.,partial (EF=1.0),189837.7903804679,410971.5260167481,199226.57395721157,114906.79735686202,290402.05531660584
Carbon cost internal.,full (EF=2.2),327725.94720870233,759453.992396675,358926.57660248346,252794.95418509646,638884.5216965327
Scenario weights,"(0.2, 0.5, 0.3)",74930.99302360587,120569.47070014228,73636.33772184562,0.0,0.0
Scenario weights,"(0.4, 0.3, 0.3)",74930.99302360587,120569.47070014228,58650.13911712444,0.0,0.0
