ticker,Company_Name,breakeven_usd_t,production_mt,cumulative_production_mt
BUMI,Bumi Resources Tbk PT,21.899604527813715,77.3,77.3
SMMT,Golden Eagle Energy Tbk PT,25.22375230769231,2.6,79.89999999999999
BSSR,Baramulti Suksessarana Tbk PT,36.10633426054706,21.57,101.47
GEMS,Golden Energy Mines Tbk PT,41.21254379878578,46.12,147.59
BYAN,Bayan Resources Tbk PT,51.62373158953722,49.7,197.29000000000002
PTBA,Bukit Asam Tbk PT,60.36704945777853,41.9,239.19000000000003
AADI,PT Adaro Andalan Indonesia Tbk,63.121084337349394,68.06,307.25
INDY,Indika Energy Tbk PT,76.73211860465116,30.1,337.35
MBAP,Mitrabara Adiperdana Tbk PT,88.17299521531102,2.09,339.44
ITMG,Indo Tambangraya Megah Tbk PT,104.1110650887574,16.9,356.34
TOBA,TBS Energi Utama Tbk PT,124.0965064516129,3.1,359.44
HRUM,Harum Energy Tbk PT,151.0792742857143,7.0,366.44
